Date,Open,High,Low,Close,Adj Close,Volume
2010-04-07,43.799999,44.200001,43.500000,43.669998,37.084705,155400
2010-04-08,43.549999,44.195000,43.369999,43.945000,37.318233,188550
2010-04-09,44.000000,44.025002,43.500000,43.840000,37.229065,101860
2010-04-12,43.560001,44.000000,43.500000,43.849998,37.237560,53680
2010-04-13,43.514999,44.095001,43.514999,43.605000,37.029499,85530
2010-04-15,43.520000,44.200001,43.520000,43.955002,37.326729,112550
2010-04-16,43.560001,43.994999,43.560001,43.639999,37.059223,47410
2010-04-19,43.974998,43.974998,42.799999,43.090000,36.592159,94760
2010-04-20,42.700001,43.595001,42.700001,42.910000,36.439312,51500
2010-04-21,42.709999,43.349998,42.709999,43.205002,36.689816,46090
2010-04-22,43.200001,43.200001,42.759998,42.884998,36.418076,36760
2010-04-23,42.825001,43.900002,42.365002,42.529999,36.116615,893140
2010-04-26,42.994999,42.994999,41.900002,42.014999,35.679268,89630
2010-04-27,42.445000,42.445000,41.105000,41.189999,34.978676,113450
2010-04-28,41.025002,41.500000,40.160000,40.485001,34.379990,111130
2010-04-29,40.200001,41.080002,40.000000,40.334999,34.252602,376410
2010-04-30,39.840000,41.299999,39.840000,41.139999,34.936222,239960
2010-05-03,40.700001,41.400002,40.700001,40.950001,34.774864,60160
2010-05-04,40.799999,41.799999,40.770000,41.520000,35.258919,177100
2010-05-05,41.490002,41.980000,40.200001,41.625000,35.348083,106900
2010-05-06,41.869999,41.900002,40.480000,41.520000,35.258919,95760
2010-05-07,40.650002,41.900002,40.404999,41.494999,35.237682,78420
2010-05-10,41.400002,41.709999,41.020000,41.375000,35.135784,18400
2010-05-11,40.689999,41.610001,40.689999,41.075001,34.881027,112210
2010-05-12,40.700001,41.299999,40.500000,40.785000,34.634747,119010
2010-05-13,40.599998,41.695000,40.400002,40.650002,34.520103,123240
2010-05-14,40.500000,41.290001,40.025002,40.294998,34.218639,67500
2010-05-17,40.220001,40.445000,39.500000,40.005001,33.972378,84710
2010-05-18,39.910000,40.705002,39.759998,40.525002,34.413963,39320
2010-05-19,40.400002,41.700001,39.715000,40.660000,34.528603,79660
2010-05-20,41.189999,41.200001,40.270000,40.705002,34.566818,66390
2010-05-21,40.000000,41.200001,39.799999,41.014999,34.830078,445390
2010-05-24,40.270000,41.799999,40.270000,40.904999,34.736652,94940
